i,t,y
320531,2022-10-31,480.0
320531,2022-11-14,96.0
320531,2022-11-25,768.0
320531,2022-12-09,672.0
320531,2022-12-20,288.0
320531,2023-01-13,576.0
320531,2023-01-18,192.0
320531,2023-02-01,672.0
320531,2023-02-17,384.0
320531,2023-02-27,960.0
320531,2023-03-10,384.0
320531,2023-03-28,192.0
320531,2023-04-20,576.0
320541,2022-07-26,288.0
320541,2022-08-12,648.0
320541,2022-08-31,370.0
320541,2022-09-06,576.0
320541,2022-09-23,504.0
320541,2022-10-13,288.0
320541,2022-10-31,432.0
320541,2022-11-14,360.0
320541,2022-11-25,1440.0
320541,2023-01-13,72.0
320541,2023-01-18,360.0
320541,2023-02-01,504.0
320541,2023-02-08,288.0
320541,2023-02-17,1296.0
320541,2023-02-27,792.0
320541,2023-03-10,216.0
320541,2023-05-09,792.0
320541,2023-05-16,27.0
320931,2022-07-08,72.0
320931,2022-07-26,72.0
320931,2022-08-12,144.0
320931,2022-08-31,144.0
320931,2022-09-06,360.0
320931,2022-10-13,72.0
320931,2022-10-31,72.0
320931,2022-11-14,72.0
320931,2022-11-25,144.0
320931,2022-12-09,72.0
320931,2023-01-18,72.0
320931,2023-02-01,72.0
320931,2023-02-27,216.0
320931,2023-03-10,216.0
320931,2023-05-09,72.0
320931,2023-05-19,39.0
321001,2022-07-08,96.0
321001,2022-08-12,96.0
321001,2022-08-31,192.0
321001,2022-09-23,96.0
321001,2022-10-13,96.0
321001,2022-10-31,96.0
321001,2022-11-25,96.0
321001,2022-12-09,96.0
321001,2023-01-18,96.0
321001,2023-02-01,96.0
321001,2023-02-27,192.0
321001,2023-03-10,96.0
321001,2023-03-28,96.0
321001,2023-04-20,192.0
321011,2022-07-08,192.0
321011,2022-07-26,192.0
321011,2022-08-12,96.0
321011,2022-08-31,384.0
321011,2022-09-06,288.0
321011,2022-10-13,192.0
321011,2022-10-31,192.0
321011,2022-11-14,192.0
321011,2022-11-25,96.0
321011,2022-12-09,192.0
321011,2023-01-18,96.0
321011,2023-02-01,96.0
321011,2023-02-17,192.0
321011,2023-02-27,192.0
321011,2023-03-10,96.0
321011,2023-03-28,96.0
321011,2023-04-20,192.0
321462,2022-07-26,320.0
321462,2022-08-12,240.0
321462,2022-08-31,320.0
321462,2022-09-06,320.0
321462,2022-09-23,240.0
321462,2022-10-13,160.0
321462,2022-11-14,320.0
321462,2023-01-13,240.0
321462,2023-01-18,320.0
321462,2023-02-01,80.0
321462,2023-02-08,80.0
321462,2023-03-10,240.0
321462,2023-03-28,160.0
321462,2023-04-20,160.0
321691,2022-08-12,192.0
321691,2022-12-20,96.0
321691,2022-12-28,96.0
321691,2023-02-01,144.0
321691,2023-02-08,72.0
321691,2023-02-17,288.0
321691,2023-02-27,144.0
321722,2022-08-12,3.0
321722,2022-11-30,0.0
321871,2022-09-26,320.0
321871,2022-11-14,160.0
321871,2022-11-30,320.0
321871,2022-12-20,40.0
321871,2023-01-06,320.0
321871,2023-01-13,320.0
321871,2023-03-10,160.0
321871,2023-03-28,160.0
321871,2023-04-20,320.0
321881,2022-09-26,320.0
321881,2022-11-25,160.0
321881,2022-11-30,320.0
321881,2022-12-20,40.0
321881,2023-01-06,320.0
321881,2023-01-13,320.0
321881,2023-02-01,320.0
321881,2023-04-20,320.0
322121,2022-12-28,120.0
322121,2023-01-18,120.0
322121,2023-02-27,240.0
322121,2023-03-10,120.0
322121,2023-03-28,120.0
322121,2023-04-10,120.0
322121,2023-04-20,240.0
41,2022-06-30,840.0
41,2022-07-14,720.0
41,2022-07-21,504.0
41,2022-08-10,1920.0
41,2022-08-24,240.0
41,2022-08-31,240.0
41,2022-09-07,240.0
41,2022-09-15,480.0
41,2022-09-28,408.0
41,2022-10-06,240.0
41,2022-10-13,120.0
41,2022-10-19,120.0
41,2022-10-26,240.0
41,2022-12-07,30.0
41,2022-12-21,720.0
41,2023-01-05,240.0
41,2023-01-12,720.0
41,2023-01-19,240.0
41,2023-01-30,240.0
41,2023-02-02,240.0
41,2023-02-08,480.0
41,2023-02-15,192.0
41,2023-02-22,360.0
41,2023-03-02,288.0
41,2023-03-08,360.0
41,2023-03-13,240.0
41,2023-03-22,312.0
41,2023-03-29,240.0
41,2023-04-04,240.0
41,2023-04-11,360.0
41,2023-04-19,264.0
41,2023-04-26,360.0
41,2023-05-04,240.0
41,2023-05-11,240.0
41,2023-05-17,240.0
41,2023-05-24,312.0
41,2023-06-01,240.0
41,2023-06-08,240.0
41,2023-06-15,480.0
41,2023-06-22,360.0
41,2023-06-29,240.0
41,2023-07-06,312.0
41,2023-07-12,312.0
41,2023-07-27,240.0
51,2022-07-06,72.0
51,2022-11-25,168.0
51,2022-12-07,72.0
51,2022-12-14,96.0
51,2022-12-21,120.0
51,2023-01-19,120.0
51,2023-01-30,48.0
51,2023-02-02,48.0
51,2023-02-08,48.0
51,2023-02-15,24.0
51,2023-02-22,48.0
51,2023-03-02,72.0
51,2023-03-08,48.0
51,2023-03-13,72.0
51,2023-03-29,120.0
51,2023-04-04,24.0
51,2023-04-11,72.0
51,2023-04-19,72.0
51,2023-04-26,48.0
51,2023-05-04,72.0
51,2023-05-11,48.0
51,2023-05-24,72.0
51,2023-06-08,48.0
51,2023-06-22,360.0
51,2023-06-29,72.0
51,2023-07-20,48.0
51,2023-07-27,72.0
61,2022-07-06,480.0
61,2022-11-25,1800.0
61,2022-12-07,120.0
61,2022-12-14,120.0
61,2022-12-21,840.0
61,2023-01-05,360.0
61,2023-01-12,240.0
61,2023-01-19,480.0
61,2023-01-30,360.0
61,2023-02-02,360.0
61,2023-02-08,432.0
61,2023-02-15,432.0
61,2023-02-22,408.0
61,2023-03-02,480.0
61,2023-03-13,408.0
61,2023-03-22,456.0
61,2023-03-29,360.0
61,2023-04-04,480.0
61,2023-04-11,360.0
61,2023-04-19,432.0
61,2023-05-11,480.0
61,2023-05-17,240.0
61,2023-05-24,480.0
61,2023-06-01,360.0
61,2023-06-08,360.0
61,2023-06-15,480.0
61,2023-06-22,720.0
61,2023-06-29,480.0
61,2023-07-06,360.0
61,2023-07-12,552.0
61,2023-07-27,360.0
650191,2022-07-11,250.0
650191,2022-07-20,1.0
651122,2022-10-05,30.0
651122,2022-10-07,30.0
651122,2022-10-14,20.0
651122,2022-11-09,50.0
651122,2023-01-03,50.0
651122,2023-02-28,50.0
651122,2023-04-17,30.0
651122,2023-04-27,60.0
651122,2023-05-18,40.0
651122,2023-05-19,35.0
651122,2023-06-01,30.0
651122,2023-06-15,20.0
680015,2022-09-05,50.0
681021,2022-06-30,3.0
681021,2022-09-16,3024.0
