i,t,y
10081,2023-06-06,1.0
10081,2023-06-07,6.0
10081,2023-06-08,7.0
10081,2023-06-09,1.0
10081,2023-06-10,1.0
10081,2023-06-11,1.0
10081,2023-06-12,1.0
10081,2023-06-13,2.0
10081,2023-06-14,2.0
10081,2023-06-15,2.0
10081,2023-07-02,1.0
10081,2023-07-03,4.0
10081,2023-07-05,5.0
10081,2023-07-06,4.0
10081,2023-07-07,1.0
10081,2023-07-08,2.0
10081,2023-07-09,1.0
10081,2023-07-10,2.0
10081,2023-07-11,3.0
10081,2023-07-12,2.0
11,2022-06-27,1.0
11,2022-06-30,15.0
11,2022-07-01,8.0
11,2022-07-02,18.0
11,2022-07-03,11.0
11,2022-07-04,19.0
11,2022-07-05,12.0
11,2022-07-06,25.0
11,2022-07-07,24.0
11,2022-07-08,20.0
11,2022-07-09,16.0
11,2022-07-10,20.0
11,2022-07-11,28.0
11,2022-07-12,2.0
11,2022-07-27,1.0
11,2022-07-29,9.0
11,2022-07-30,14.0
11,2022-07-31,9.0
11,2022-08-01,24.0
11,2022-08-02,15.0
11,2022-08-03,22.0
11,2022-08-04,18.0
11,2022-08-05,8.0
11,2022-08-06,23.0
11,2022-08-07,15.0
11,2022-08-08,22.0
11,2022-08-09,22.0
11,2022-08-10,20.0
11,2022-08-11,5.0
11,2022-08-28,1.0
11,2022-08-29,2.0
11,2022-08-31,11.0
11,2022-09-01,44.0
11,2022-09-02,15.0
11,2022-09-03,20.0
11,2022-09-04,12.0
11,2022-09-05,15.0
11,2022-09-06,22.0
11,2022-09-07,16.0
11,2022-09-08,11.0
11,2022-09-09,12.0
11,2022-09-10,17.0
11,2022-09-11,17.0
11,2022-09-12,24.0
11,2022-09-13,28.0
11,2022-09-14,28.0
11,2022-09-15,19.0
11,2022-09-16,7.0
11,2022-09-17,14.0
11,2022-09-18,17.0
11,2022-09-19,1.0
11,2022-09-25,1.0
11,2022-09-30,9.0
11,2022-10-01,19.0
11,2022-10-02,20.0
11,2022-10-03,22.0
11,2022-10-04,10.0
11,2022-10-05,32.0
11,2022-10-06,22.0
11,2022-10-07,19.0
11,2022-10-08,25.0
11,2022-10-09,15.0
11,2022-10-10,16.0
11,2022-10-11,22.0
11,2022-10-12,23.0
11,2022-10-13,21.0
11,2022-10-14,15.0
11,2022-10-15,6.0
11,2022-10-16,13.0
11,2022-10-17,1.0
11,2022-10-25,1.0
11,2022-10-28,1.0
11,2022-10-31,11.0
11,2022-11-01,28.0
11,2022-11-02,8.0
