i,t,y
170031,2022-08-22,61.0
170031,2022-08-29,61.0
170031,2022-09-05,53.0
170031,2022-09-12,45.0
170031,2022-09-19,40.0
170031,2022-09-26,40.0
170031,2022-10-03,33.0
170031,2022-10-10,23.0
170031,2022-10-17,11.0
170031,2022-10-24,11.0
170031,2022-10-31,9.0
170031,2022-11-07,0.0
170031,2022-11-14,42.0
170031,2022-11-21,42.0
170031,2022-11-28,92.0
170031,2022-12-05,82.0
170031,2022-12-12,74.0
170031,2022-12-19,69.0
170031,2022-12-26,69.0
170031,2023-01-02,115.0
170031,2023-01-09,113.0
170031,2023-01-16,104.0
170031,2023-01-23,104.0
170031,2023-01-30,104.0
170031,2023-02-06,98.0
170031,2023-02-13,95.0
170031,2023-02-20,95.0
170031,2023-02-27,95.0
170031,2023-03-06,89.0
170031,2023-03-13,87.0
170031,2023-03-20,85.0
170031,2023-03-27,85.0
170031,2023-04-03,85.0
170031,2023-04-10,80.0
170031,2023-04-17,77.0
170031,2023-04-24,77.0
170031,2023-05-01,73.0
170031,2023-05-08,67.0
170031,2023-05-15,63.0
170031,2023-05-22,63.0
170031,2023-05-29,63.0
170031,2023-06-05,106.0
170031,2023-06-12,91.0
170031,2023-06-19,83.0
170031,2023-06-26,83.0
170031,2023-07-03,83.0
170031,2023-07-10,83.0
170031,2023-07-17,83.0
170031,2023-07-24,83.0
170031,2023-07-31,83.0
170071,2022-07-04,0.0
170071,2022-07-11,140.0
170071,2022-07-18,140.0
170071,2022-07-25,140.0
170071,2022-08-01,133.0
170071,2022-08-08,126.0
170071,2022-08-15,181.0
170071,2022-08-22,241.0
170071,2022-08-29,241.0
170071,2022-09-05,233.0
170071,2022-09-12,278.0
170071,2022-09-19,361.0
170071,2022-09-26,361.0
170071,2022-10-03,358.0
170071,2022-10-10,397.0
170071,2022-10-17,386.0
170071,2022-10-24,386.0
170071,2022-10-31,386.0
170071,2022-11-07,383.0
170071,2022-11-14,377.0
170071,2022-11-21,467.0
170071,2022-11-28,467.0
170071,2022-12-05,461.0
170071,2022-12-12,448.0
170071,2022-12-19,530.0
170071,2022-12-26,530.0
170071,2023-01-02,518.0
170071,2023-01-09,560.0
170071,2023-01-16,585.0
170071,2023-01-23,585.0
170071,2023-01-30,584.0
170071,2023-02-06,568.0
170071,2023-02-13,621.0
170071,2023-02-20,620.0
170071,2023-02-27,679.0
170071,2023-03-06,669.0
170071,2023-03-13,724.0
170071,2023-03-20,720.0
170071,2023-03-27,720.0
170071,2023-04-03,716.0
170071,2023-04-10,763.0
170071,2023-04-17,811.0
170071,2023-04-24,811.0
170071,2023-05-01,804.0
170071,2023-05-08,796.0
170071,2023-05-15,850.0
170071,2023-05-22,850.0
170071,2023-05-29,910.0
170071,2023-06-05,900.0
170071,2023-06-12,891.0
170071,2023-06-19,944.0
170071,2023-06-26,944.0
170071,2023-07-03,935.0
170071,2023-07-10,923.0
170071,2023-07-17,917.0
170071,2023-07-24,917.0
170071,2023-07-31,917.0
170231,2022-07-04,372.0
170231,2022-07-11,360.0
170231,2022-07-18,360.0
170231,2022-07-25,360.0
170231,2022-08-01,353.0
170231,2022-08-08,343.0
170231,2022-08-15,341.0
170231,2022-08-22,341.0
170231,2022-08-29,341.0
170231,2022-09-05,332.0
170231,2022-09-12,317.0
170231,2022-09-19,312.0
170231,2022-09-26,312.0
170231,2022-10-03,307.0
170231,2022-10-10,300.0
170231,2022-10-17,284.0
170231,2022-10-24,284.0
170231,2022-10-31,282.0
170231,2022-11-07,265.0
170231,2022-11-14,256.0
170231,2022-11-21,256.0
170231,2022-11-28,256.0
170231,2022-12-05,249.0
170231,2022-12-12,240.0
170231,2022-12-19,237.0
170231,2022-12-26,237.0
170231,2023-01-02,234.0
170231,2023-01-09,224.0
170231,2023-01-16,220.0
170231,2023-01-23,220.0
170231,2023-01-30,218.0
170231,2023-02-06,196.0
170231,2023-02-13,177.0
170231,2023-02-20,176.0
170231,2023-02-27,174.0
170231,2023-03-06,145.0
170231,2023-03-13,118.0
170231,2023-03-20,108.0
170231,2023-03-27,108.0
170231,2023-04-03,105.0
170231,2023-04-10,89.0
170231,2023-04-17,72.0
170231,2023-04-24,71.0
170231,2023-05-01,64.0
170231,2023-05-08,46.0
170231,2023-05-15,35.0
170231,2023-05-22,35.0
170231,2023-05-29,35.0
170231,2023-06-05,32.0
170231,2023-06-12,2.0
170231,2023-06-19,0.0
170231,2023-06-26,0.0
170231,2023-07-03,0.0
170231,2023-07-10,0.0
170231,2023-07-17,0.0
170231,2023-07-24,0.0
170231,2023-07-31,0.0
170291,2022-07-04,107.0
170291,2022-07-11,84.0
170291,2022-07-18,84.0
170291,2022-07-25,84.0
170291,2022-08-01,72.0
170291,2022-08-08,65.0
170291,2022-08-15,62.0
170291,2022-08-22,62.0
170291,2022-08-29,62.0
170291,2022-09-05,56.0
170291,2022-09-12,48.0
170291,2022-09-19,44.0
170291,2022-09-26,44.0
170291,2022-10-03,42.0
170291,2022-10-10,36.0
170291,2022-10-17,30.0
170291,2022-10-24,30.0
170291,2022-10-31,30.0
170291,2022-11-07,24.0
170291,2022-11-14,20.0
170291,2022-11-21,20.0
